1. Hupsel 43,9 [color=grey][i]+7,7[/i][/color]
2. Twente 40,1 [color=grey][i]+6,5[/i][/color]
3. Deelen 38,2 [color=grey][i]+6,6[/i][/color]
3. Volkel 38,2 [color=grey][i]+7,3[/i][/color] [color=green](4)[/color]
5. Arcen 36,7 [color=grey][i]+6,4[/i][/color]
6. Heino 36,4 [color=grey][i]+7,1[/i][/color] [color=green](7)[/color]
7. Ell 36,1 [color=grey][i]+5,9[/i][/color] [color=red](6)[/color]
8. Hoogeveen 35,2 [color=grey][i]+6,9[/i][/color]
9. Lelystad 34,3 [color=grey][i]+7,1[/i][/color] [color=green](10)[/color]
10. Eindhoven 33,5 [color=grey][i]+5,3[/i][/color] [color=red](9)[/color]
11. Eelde 32,5 [color=grey][i]+6,1[/i][/color] [color=green](12)[/color]
12. Herwijnen 32,4 [color=grey][i]+5,9[/i][/color] [color=red](11)[/color]
13. Nieuw-Beerta 31,6 [color=grey][i]+6,2[/i][/color] [color=green](15)[/color]
14. Woensdrecht 31,4 [color=grey][i]+5,8[/i][/color] [color=red](13)[/color]
15. Gilze-Rijen 31,2 [color=grey][i]+5,8[/i][/color]
16. Maastricht 31,1 [color=grey][i]+5,6[/i][/color] [color=red](14)[/color]
17. Marknesse 30,9 [color=grey][i]+6,2[/i][/color]
18. De Bilt 30,5 [color=grey][i]+5,8[/i][/color] [color=red](17)[/color]
19. Cabauw 28,7 [color=grey][i]+5,0[/i][/color]
20. Rotterdam 28,2 [color=grey][i]+5,4[/i][/color]
21. Leeuwarden 27,1 [color=grey][i]+4,9[/i][/color]
22. Stavoren 26,6 [color=grey][i]+4,8[/i][/color]
23. Voorschoten 26,4 [color=grey][i]+4,8[/i][/color]
24. Wijk aan Zee 26,2 [color=grey][i]+4,8[/i][/color]
25. Westdorpe 25,2 [color=grey][i]+4,7[/i][/color] [color=green](26)[/color]
26. Berkhout 25,1 [color=grey][i]+4,4[/i][/color] [color=red](25)[/color]
27. Schiphol 25,0 [color=grey][i]+4,9[/i][/color]
28. Hoek van Holland 22,6 [color=grey][i]+4,3[/i][/color]
29. Wilhelminadorp 21,5 [color=grey][i]+4,3[/i][/color]
30. Hoorn (Terschelling) 20,1 [color=grey][i]+3,9[/i][/color]
31. Lauwersoog 18,9 [color=grey][i]+4,2[/i][/color]
32. Vlissingen 18,1 [color=grey][i]+3,4[/i][/color] [color=red](31)[/color]
33. De Kooy 17,1 [color=grey][i]+3,6[/i][/color]
34. Vlieland 16,8 [color=grey][i]+3,3[/i][/color] [color=red](33)[/color]
